Type of materials,Sub_type of materials,Functioal group/drug,Abbreviation,Shape,Agglomeration,Zeta potential,Cell_Type,Stimulant,Cellular uptake,Pro_inflammatoary ,Anti_inflammatoary ,Apoptosis,Organism,Gender,Dose times (Single dose/Multiple dose),Administration route,Injury_Model,Biosafety,Recovery,Reference,Unnamed: 27,Size (nm)_min,Size (nm)_max,NPs_Conc (ug/mL)_min,NPs_Conc (ug/mL)_max,Stimulant_Conc(ug/ml)_min,Stimulant_Conc(ug/ml)_max,Age (Weeks)_min,Age (Weeks)_max,Weight (g)_min,Weight (g)_max,Dose_invivo_ (mg/Kg)_min,Dose_invivo_ (mg/Kg)_max
Organic,,,,Sphere,,Negative ,,,High,,,,Small Rodents,Female,Multiple,Intravenous,Spinal Injury,Good,Good,"PLGA shell encapsulating miR‑323‑5p inhibitor, modified with RVG peptide for neuronal targeting",https://pmc.ncbi.nlm.nih.gov/articles/PMC11438374/#Abs1,200.0,,100.0,500.0,,,0.0,5.0,50.0,,10.0,
Organic,,,,Sphere,,Negative ,Neuronal,,High,,,Low,,,,,Spinal Injury,Good,,Biomineralized MnO₂  nanonomaterial‑Constituted Hydrogels for Glioma Theranostics,https://pubmed.ncbi.nlm.nih.gov/39204402,10.0,100.0,1.0,10.0,,,,,,,,
Organic,,,,Sphere,,Negative ,,Inflammatory stimuli,,Low,High,Low,Small Rodents,Female,Multiple,Intravenous,Spinal Injury,Good,Good,Curcumin/pEGCG-encapsulated nanoparticles enhance spinal cord injury recovery by regulating DC74 to alleviate oxidative stress,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-024-02916-4#Abs1,200.0,,1.0,10.0,0.0,10.0,5.0,10.0,1.0,50.0,,
Organic,,,,Sphere,,Negative ,Neuronal,Inflammatory stimuli,,Low,High,Low,,,,,Spinal Injury,Good,Good,Curcumin/pEGCG-encapsulated nanoparticles enhance spinal cord injury recovery by regulating DC74 to alleviate oxidative stress,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-024-02916-4#Abs1,200.0,,1.0,10.0,0.0,10.0,,,,,,
Inorganic,Bimetallic,Cerium-Manganese,CeMn NP‑PEG,Sphere,,Negative ,,Oxidative stress,,Low,High,Low,Small Rodents,,Multiple,Other,Spinal Injury,Good,Good,Hydrogel loaded with cerium-manganese nanoparticles and nerve growth factor enhances spinal cord injury repair by modulating immune environment and promoting neuronal regeneratrion,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-025-03098-3#Sec36,10.0,100.0,1.0,10.0,10.0,100.0,0.0,5.0,,,10.0,
Inorganic,Bimetallic,Cerium-Manganese,CeMn NP‑PEG,Sphere,,Negative ,Neuronal,Oxidative stress,,Low,High,Low,,,,,Spinal Injury,Good,Good,Hydrogel loaded with cerium-manganese nanoparticles and nerve growth factor enhances spinal cord injury repair by modulating immune environment and promoting neuronal regeneratrion,https://jMissingnobiotechnology.biomedcentral.com/articles/10.1186/s12951-025-03098-3#Sec36,10.0,100.0,1.0,10.0,10.0,100.0,,,,,,
Organic,,,,Sphere,,,,,High,,,,Small Rodents,,,,Brain Disease,,,Fluorecent liposomal nanocarriers for targeted delivery in ischemic stroke therapy,https://pubmed.ncbi.nlm.nih.gov/37902365/,10.0,100.0,10.0,100.0,,,,,,,,
Organic,,,,Sphere,,,Other,,High,,,,,,,,Brain Disease,,Good,Fluorecent liposomal nanocarriers for targeted delivery in ischemic stroke therapy,https://pubmed.ncbi.nlm.nih.gov/37902365/,10.0,100.0,10.0,100.0,,,,,,,,
Carbon,,,,Non-Sphere,No,,Other,Inflammatory stimuli,,Low,High,Low,,,,,Spinal Injury,Good,Good,Graphene Oxide nanosheets Reduce Astrocyte Reactivity to Inflammation and Ameliorate Experimental Autoimmune Encephalomyelitis,10.1021/acsnano.2c06609,200.0,,,,0.0,10.0,,,,,,
Carbon,,,,Non-Sphere,No,,,Parkinsonism stimuli,,Low,High,Low,Small Rodents,Both,Multiple,Intravenous,Spinal Injury,,Good,Graphene Oxide nanosheets Reduce Astrocyte Reactivity to Inflammation and Ameliorate Experimental Autoimmune Encephalomyelitis,10.1021/acsnano.2c06609,200.0,,,,0.0,10.0,5.0,10.0,,,10.0,
